number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_for_bin,params_subsample_freq,state
0,0.67594510616261,2021-08-21 12:55:42.048544,2021-08-21 12:56:46.260157,0 days 00:01:04.211613,0.4962092969417952,3,29,17,4.437000613147861e-08,0.02449019749352591,0.8940646499625984,1314,1,COMPLETE
1,0.6289487312273434,2021-08-21 12:56:46.261469,2021-08-21 12:58:19.737151,0 days 00:01:33.475682,0.6468882144663449,5,2,2,0.0001705940883873298,2.1953293331776672e-05,0.5323895201959304,5081,9,COMPLETE
2,0.6602796478508545,2021-08-21 12:58:19.741701,2021-08-21 12:59:31.802280,0 days 00:01:12.060579,0.6984490362229712,2,4,25,0.00014981893176612958,3.505899906417498e-05,0.733742749994857,5777,6,COMPLETE
3,0.6606680476437079,2021-08-21 12:59:31.804008,2021-08-21 13:00:38.149205,0 days 00:01:06.345197,0.9847532992527831,7,29,4,6.28394635366918e-08,0.0001611452013116469,0.7735292285571744,5566,8,COMPLETE
4,0.6663645779388918,2021-08-21 13:00:38.150487,2021-08-21 13:01:29.177933,0 days 00:00:51.027446,0.5390926853638496,7,14,10,0.004550956550110637,0.00026359915300287,0.42636208257404434,945,9,COMPLETE
5,0.6799585706887623,2021-08-21 13:01:29.179242,2021-08-21 13:02:00.902647,0 days 00:00:31.723405,0.7242590329016347,6,25,15,0.09891798230596528,0.02304860163967071,0.7088790537899177,637,2,COMPLETE
6,0.6795701708959089,2021-08-21 13:02:00.904523,2021-08-21 13:02:54.702675,0 days 00:00:53.798152,0.40018238084002766,3,9,21,0.00019014190529268444,0.03163143327208164,0.7096080576143353,995,5,COMPLETE
7,0.681512169860176,2021-08-21 13:02:54.704512,2021-08-21 13:05:03.485528,0 days 00:02:08.781016,0.5064212917547257,3,7,18,8.922577472404766,1.2906135327817163e-06,0.8620100959181207,3947,3,COMPLETE
8,0.6716727084412222,2021-08-21 13:05:03.486694,2021-08-21 13:06:35.813688,0 days 00:01:32.326994,0.5894484485126035,3,13,21,0.02226651142300018,1.476017985993154e-07,0.8199692107115286,3250,7,COMPLETE
9,0.6795701708959089,2021-08-21 13:06:35.814893,2021-08-21 13:07:48.174353,0 days 00:01:12.359460,0.7764273372028041,7,13,30,4.8345225244912475,5.469622537364605e-08,0.8147388950987193,4944,1,COMPLETE
